route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
580,0000000622025061320250909,0004255192025061320250909,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
566,0000000622025061320250909,0004255302025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255312025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255322025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255332025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255342025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255352025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255362025061320250909,Via Della Cisterna,0,D219_F5037b_Andata_sub2,1
566,0000000622025061320250909,0004255372025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255382025061320250909,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622025061320250909,0004255392025061320250909,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622025061320250909,0004255402025061320250909,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
